,precision,recall,f1-score,support
坦,1.0,1.0,1.0,7.0
坪,1.0,1.0,1.0,17.0
坯,1.0,1.0,1.0,6.0
垂,1.0,1.0,1.0,7.0
型,1.0,1.0,1.0,7.0
垮,1.0,1.0,1.0,7.0
埃,1.0,1.0,1.0,6.0
埋,1.0,1.0,1.0,7.0
城,1.0,1.0,1.0,10.0
埔,1.0,1.0,1.0,6.0
域,1.0,1.0,1.0,7.0
執,1.0,1.0,1.0,7.0
培,1.0,1.0,1.0,10.0
基,1.0,1.0,1.0,10.0
堂,1.0,1.0,1.0,10.0
堅,1.0,1.0,1.0,10.0
堆,1.0,1.0,1.0,17.0
堡,1.0,1.0,1.0,10.0
堤,1.0,0.8571428571428571,0.923076923076923,7.0
堪,1.0,1.0,1.0,7.0
堯,1.0,1.0,1.0,10.0
報,1.0,1.0,1.0,10.0
場,1.0,1.0,1.0,10.0
堵,1.0,1.0,1.0,7.0
塊,1.0,0.9411764705882353,0.9696969696969697,17.0
塌,1.0,1.0,1.0,6.0
塑,1.0,1.0,1.0,10.0
塔,1.0,0.8571428571428571,0.923076923076923,7.0
塗,1.0,1.0,1.0,7.0
塘,0.875,1.0,0.9333333333333333,7.0
塞,0.875,1.0,0.9333333333333333,7.0
填,1.0,0.9411764705882353,0.9696969696969697,17.0
塵,1.0,1.0,1.0,7.0
境,1.0,1.0,1.0,10.0
墊,1.0,1.0,1.0,6.0
墓,1.0,1.0,1.0,7.0
增,1.0,0.9375,0.967741935483871,16.0
墨,1.0,1.0,1.0,7.0
墳,1.0,1.0,1.0,17.0
墾,1.0,1.0,1.0,7.0
壁,1.0,1.0,1.0,7.0
壇,1.0,1.0,1.0,7.0
壓,1.0,1.0,1.0,16.0
壘,1.0,1.0,1.0,16.0
壞,0.75,1.0,0.8571428571428571,6.0
壟,1.0,1.0,1.0,16.0
壤,1.0,0.8125,0.896551724137931,16.0
壩,1.0,1.0,1.0,16.0
士,1.0,1.0,1.0,10.0
壯,1.0,1.0,1.0,6.0
壺,1.0,1.0,1.0,6.0
壽,1.0,1.0,1.0,10.0
夏,1.0,1.0,1.0,7.0
夕,1.0,1.0,1.0,17.0
外,1.0,1.0,1.0,7.0
多,1.0,1.0,1.0,10.0
夜,1.0,1.0,1.0,7.0
夠,1.0,1.0,1.0,7.0
夢,1.0,1.0,1.0,7.0
夥,1.0,1.0,1.0,6.0
大,1.0,1.0,1.0,10.0
天,1.0,1.0,1.0,10.0
太,1.0,1.0,1.0,10.0
夫,1.0,1.0,1.0,7.0
央,0.9,0.9,0.9,10.0
失,1.0,1.0,1.0,7.0
夷,1.0,1.0,1.0,7.0
夾,0.8571428571428571,1.0,0.923076923076923,6.0
奇,1.0,1.0,1.0,10.0
奈,1.0,1.0,1.0,7.0
奉,1.0,1.0,1.0,7.0
奏,1.0,1.0,1.0,7.0
契,1.0,1.0,1.0,7.0
奔,1.0,1.0,1.0,7.0
奕,1.0,1.0,1.0,10.0
套,1.0,1.0,1.0,17.0
奠,1.0,1.0,1.0,6.0
奧,1.0,1.0,1.0,6.0
奪,1.0,1.0,1.0,7.0
奮,1.0,1.0,1.0,17.0
女,1.0,1.0,1.0,10.0
奴,1.0,1.0,1.0,17.0
奶,1.0,1.0,1.0,6.0
她,1.0,1.0,1.0,6.0
好,1.0,1.0,1.0,10.0
如,1.0,1.0,1.0,10.0
妃,1.0,1.0,1.0,7.0
妙,1.0,1.0,1.0,17.0
妤,1.0,1.0,1.0,10.0
妥,1.0,1.0,1.0,7.0
妨,1.0,1.0,1.0,17.0
妮,1.0,1.0,1.0,10.0
妹,1.0,0.9,0.9473684210526316,10.0
妻,1.0,1.0,1.0,17.0
姆,1.0,1.0,1.0,6.0
始,1.0,1.0,1.0,7.0
姐,1.0,1.0,1.0,17.0
姑,1.0,1.0,1.0,17.0
姓,1.0,1.0,1.0,7.0
委,1.0,0.9,0.9473684210526316,10.0
姚,1.0,1.0,1.0,10.0
姜,1.0,1.0,1.0,10.0
姦,1.0,1.0,1.0,7.0
姨,1.0,1.0,1.0,6.0
姪,1.0,1.0,1.0,7.0
姬,1.0,1.0,1.0,7.0
姻,1.0,1.0,1.0,7.0
姿,0.9090909090909091,1.0,0.9523809523809523,10.0
威,1.0,1.0,1.0,10.0
娃,1.0,1.0,1.0,7.0
娓,1.0,1.0,1.0,6.0
娘,1.0,1.0,1.0,7.0
娟,1.0,1.0,1.0,10.0
娥,1.0,1.0,1.0,10.0
娶,1.0,1.0,1.0,16.0
婆,1.0,1.0,1.0,7.0
婉,1.0,1.0,1.0,10.0
婕,1.0,1.0,1.0,10.0
婚,1.0,1.0,1.0,7.0
婦,1.0,1.0,1.0,7.0
婷,1.0,1.0,1.0,10.0
媒,1.0,1.0,1.0,10.0
媛,1.0,0.9,0.9473684210526316,10.0
媳,1.0,1.0,1.0,16.0
媽,1.0,1.0,1.0,16.0
嫁,1.0,1.0,1.0,7.0
嫂,1.0,1.0,1.0,6.0
嫌,1.0,1.0,1.0,7.0
嫩,1.0,1.0,1.0,6.0
嬌,1.0,1.0,1.0,10.0
嬰,1.0,1.0,1.0,7.0
嬸,1.0,1.0,1.0,6.0
子,1.0,1.0,1.0,10.0
孔,1.0,1.0,1.0,7.0
孕,1.0,1.0,1.0,16.0
字,1.0,1.0,1.0,7.0
存,1.0,0.8571428571428571,0.923076923076923,7.0
孝,1.0,1.0,1.0,7.0
孟,1.0,0.9,0.9473684210526316,10.0
孢,1.0,1.0,1.0,7.0
季,1.0,1.0,1.0,7.0
孤,1.0,1.0,1.0,7.0
孩,1.0,1.0,1.0,6.0
孫,1.0,1.0,1.0,10.0
孵,1.0,0.9375,0.967741935483871,16.0
學,1.0,1.0,1.0,10.0
它,0.8888888888888888,1.0,0.9411764705882353,16.0
宅,1.0,1.0,1.0,7.0
宇,1.0,1.0,1.0,10.0
守,1.0,1.0,1.0,10.0
安,1.0,1.0,1.0,10.0
宋,1.0,0.9,0.9473684210526316,10.0
完,1.0,1.0,1.0,7.0
宏,1.0,1.0,1.0,10.0
宗,1.0,1.0,1.0,10.0
官,1.0,0.7142857142857143,0.8333333333333333,7.0
宙,1.0,1.0,1.0,17.0
定,1.0,1.0,1.0,10.0
宜,0.9090909090909091,1.0,0.9523809523809523,10.0
客,1.0,1.0,1.0,10.0
宣,1.0,1.0,1.0,10.0
室,1.0,1.0,1.0,10.0
宥,1.0,1.0,1.0,10.0
宦,0.75,1.0,0.8571428571428571,6.0
宮,1.0,1.0,1.0,7.0
宰,1.0,1.0,1.0,7.0
害,1.0,1.0,1.0,7.0
宴,1.0,1.0,1.0,7.0
家,1.0,1.0,1.0,10.0
宸,1.0,1.0,1.0,10.0
容,1.0,0.9,0.9473684210526316,10.0
宿,1.0,1.0,1.0,17.0
寂,1.0,1.0,1.0,7.0
寄,1.0,1.0,1.0,17.0
寅,1.0,1.0,1.0,7.0
密,0.9090909090909091,1.0,0.9523809523809523,10.0
寇,1.0,1.0,1.0,16.0
富,1.0,1.0,1.0,10.0
寒,1.0,1.0,1.0,7.0
寓,1.0,0.9,0.9473684210526316,10.0
察,1.0,0.9411764705882353,0.9696969696969697,17.0
寡,1.0,1.0,1.0,7.0
寥,1.0,1.0,1.0,16.0
實,0.8333333333333334,1.0,0.9090909090909091,10.0
寧,0.9090909090909091,1.0,0.9523809523809523,10.0
寨,1.0,1.0,1.0,6.0
審,1.0,1.0,1.0,7.0
寫,1.0,1.0,1.0,6.0
寬,0.9090909090909091,1.0,0.9523809523809523,10.0
