,precision,recall,f1-score,support
萍,1.0,1.0,1.0,10.0
萬,1.0,1.0,1.0,10.0
萱,1.0,1.0,1.0,10.0
葉,1.0,1.0,1.0,10.0
董,1.0,1.0,1.0,10.0
葳,1.0,1.0,1.0,10.0
蓁,1.0,1.0,1.0,10.0
蓉,0.9090909090909091,1.0,0.9523809523809523,10.0
蓮,1.0,1.0,1.0,10.0
蔡,1.0,0.9,0.9473684210526316,10.0
蔣,1.0,1.0,1.0,10.0
蕙,1.0,1.0,1.0,10.0
蕭,1.0,1.0,1.0,10.0
薇,1.0,1.0,1.0,10.0
薛,1.0,1.0,1.0,10.0
藍,1.0,1.0,1.0,10.0
藝,1.0,1.0,1.0,10.0
藥,1.0,1.0,1.0,10.0
蘇,1.0,1.0,1.0,10.0
蘭,1.0,1.0,1.0,10.0
處,1.0,1.0,1.0,10.0
虹,1.0,1.0,1.0,10.0
融,1.0,1.0,1.0,10.0
行,1.0,1.0,1.0,10.0
術,1.0,1.0,1.0,10.0
衛,1.0,1.0,1.0,10.0
衣,1.0,1.0,1.0,10.0
裕,1.0,1.0,1.0,10.0
裝,1.0,1.0,1.0,10.0
製,1.0,1.0,1.0,10.0
西,1.0,1.0,1.0,10.0
視,1.0,1.0,1.0,10.0
覽,1.0,1.0,1.0,10.0
觀,1.0,1.0,1.0,10.0
言,0.9090909090909091,1.0,0.9523809523809523,10.0
計,1.0,1.0,1.0,10.0
訊,0.9090909090909091,1.0,0.9523809523809523,10.0
託,1.0,1.0,1.0,10.0
記,1.0,1.0,1.0,10.0
設,0.9090909090909091,1.0,0.9523809523809523,10.0
許,1.0,1.0,1.0,10.0
診,1.0,1.0,1.0,10.0
詠,1.0,1.0,1.0,10.0
詩,1.0,1.0,1.0,10.0
詮,1.0,1.0,1.0,10.0
詹,1.0,1.0,1.0,10.0
語,1.0,1.0,1.0,10.0
誠,1.0,1.0,1.0,10.0
誼,1.0,1.0,1.0,10.0
調,1.0,1.0,1.0,10.0
謙,1.0,1.0,1.0,10.0
謝,1.0,1.0,1.0,10.0
證,1.0,1.0,1.0,10.0
護,1.0,1.0,1.0,10.0
谷,1.0,0.8,0.888888888888889,10.0
豐,1.0,1.0,1.0,10.0
豪,1.0,1.0,1.0,10.0
貝,0.8888888888888888,0.8,0.8421052631578948,10.0
貞,1.0,0.9,0.9473684210526316,10.0
財,1.0,1.0,1.0,10.0
貨,1.0,1.0,1.0,10.0
貴,0.9090909090909091,1.0,0.9523809523809523,10.0
買,1.0,0.5,0.6666666666666666,10.0
貿,0.9090909090909091,1.0,0.9523809523809523,10.0
賀,1.0,1.0,1.0,10.0
賃,1.0,1.0,1.0,10.0
資,1.0,1.0,1.0,10.0
賓,1.0,0.9,0.9473684210526316,10.0
賜,1.0,1.0,1.0,10.0
賢,1.0,1.0,1.0,10.0
賴,1.0,1.0,1.0,10.0
超,1.0,1.0,1.0,10.0
趙,1.0,1.0,1.0,10.0
車,1.0,1.0,1.0,10.0
軒,1.0,1.0,1.0,10.0
輝,1.0,1.0,1.0,10.0
輪,1.0,1.0,1.0,10.0
辰,1.0,0.9,0.9473684210526316,10.0
農,1.0,1.0,1.0,10.0
迅,1.0,0.8,0.888888888888889,10.0
迪,1.0,1.0,1.0,10.0
通,0.8333333333333334,1.0,0.9090909090909091,10.0
造,1.0,1.0,1.0,10.0
連,1.0,1.0,1.0,10.0
進,1.0,1.0,1.0,10.0
逸,1.0,1.0,1.0,10.0
運,1.0,1.0,1.0,10.0
道,1.0,0.9,0.9473684210526316,10.0
達,1.0,1.0,1.0,10.0
